"Date","Price (Open)","Price (High)","Price (Low)","Price (Close)","Real Volume","Circulating Marketcap"
"2019-08-07","11471.948852641235","12137.049609465466","11382.95054781923","11966.264028156538","3076188225.6106014","205072339340.36215"
"2019-08-06","11805.999156267062","12312.771074507898","11212.987813588805","11469.870933397675","3531919585.2580476","210998607010.86914"
"2019-08-05","10987.788571719115","11949.166102482437","10966.515117719498","11819.918511781334","3028401379.2495303","195917749809.62057"
"2019-08-04","10818.569205292157","11079.391487950821","10566.364317508349","10968.343907007238","1653263379.9845998","193282833327.86383"
"2019-08-03","10516.700832254854","10905.308274602343","10507.52845377754","10820.672975324536","1448112862.0152843","187942827054.54626"
"2019-08-02","10395.350369523527","10672.144688645294","10322.62164857449","10517.125813312545","1727452856.2921479","185704512764.11774"
"2019-08-01","10121.384337772437","10503.077756474242","9877.39688264682","10395.818798149461","1571251883.394584","180802621900.15106"
"2019-07-31","9587.121618241927","10141.725474636301","9563.98053021383","10111.076762933903","1634318870.8036141","171154306827.53848"
"2019-07-30","9491.322653211939","9731.305292514951","9376.340977173637","9584.347062183679","1262459608.173737","169458035589.01138"
"2019-07-29","9531.801983988713","9726.041088694159","9372.854163436143","9485.109778064676","1412572989.6256943","170163950671.2325"
"2019-07-28","9474.046996205734","9643.184606934434","9112.568378222155","9541.92483821227","1292537001.2024732","169089019401.72305"
"2019-07-27","9833.000141264476","10201.89888127262","9300.88762216434","9469.244076324361","2114547595.4126322","175559539602.23657"
"2019-07-26","9875.263789179655","9900.17720128896","9646.109286505283","9836.985408883498","1196179432.9006944","176271197473.19962"
"2019-07-25","9768.053658410485","10189.079299399215","9730.840549488925","9880.936477807076","1562854138.1799529","174244890210.6004"
"2019-07-24","9856.544627829076","9923.2906669668","9512.513181525364","9768.592815758559","1862424842.8820732","175822574209.0842"
"2019-07-23","10325.934753456866","10339.703187119187","9805.928782296938","9860.0621140907","1920465653.9933083","184242728163.0581"
"2019-07-22","10585.806687363181","10685.900624054306","10059.246124238738","10325.983445203208","1870439259.5381043","188794756055.1784"
"2019-07-21","10756.064069440561","10832.016755943823","10301.761367734556","10591.37540112928","1662158074.7671835","191791998015.1623"
"2019-07-20","10522.43219928289","11097.380492779432","10366.665462538149","10753.45890356718","2142036287.8246896","187735039658.70148"
"2019-07-19","10640.215145747736","10783.56690030646","10118.096215005073","10523.869298873158","2573167311.851669","189627489501.7029"
"2019-07-18","9673.642261112316","10804.098146310786","9278.358307863804","10651.162832582693","3758500065.8864236","172498880575.31906"
"2019-07-17","9401.854749321115","9984.600407306505","9077.662077476247","9697.541338072338","3630960988.841273","167433096986.57303"
"2019-07-16","10866.965794497","11037.182954058051","9354.630395064232","9429.11442726051","4379162037.566038","193904005424.6303"
"2019-07-15","10196.707864662503","11087.150164253431","9856.88913117403","10844.48401081513","3568905322.7078424","181658337517.49265"
"2019-07-14","11386.355427998018","11465.30185022554","10099.985292585787","10187.458398161676","3179877386.6129384","202346026232.02924"
"2019-07-13","11793.707467913155","11837.269906521966","10826.491484094095","11372.817851419753","2481676006.733725","210004740174.96393"
"2019-07-12","11351.097670413068","11930.93203627388","11087.131979623657","11798.019011977689","2624943521.442119","202324545192.6406"
"2019-07-11","12090.407463757383","12091.628118797846","10965.79573798782","11348.960247958306","4466007492.189609","215448789847.59332"
"2019-07-10","12577.024903268617","13191.18304828917","11549.074928941274","12095.197825004681","5615654292.309669","224064076171.8532"
"2019-07-09","12304.500174890187","12824.104862755681","12179.975839986642","12567.11839671918","3218397219.036786","219190137127.7611"
"2019-07-08","11468.381733642624","12384.504881804232","11314.336178257881","12289.117449075147","2593390531.646199","204408176756.5008"
"2019-07-07","11254.297207118012","11617.260211646872","11094.318025174416","11467.953266826711","1721795449.6745815","200583987280.79922"
"2019-07-06","10961.057434044806","11715.650419700789","10953.708161254972","11252.777355213417","2207789098.284701","195488756973.83163"
"2019-07-05","11145.860026897139","11453.600625124642","10773.248184114482","10985.758795850017","2711994251.7950397","198872025773.48016"
"2019-07-04","11969.549058205506","12043.860946647244","11034.76822034548","11141.03182668077","3327906805.149419","213298723307.18756"
"2019-07-03","10807.807034948813","12020.07624873661","10805.018032719709","11977.924189133235","4725908637.287752","193202924251.23837"
"2019-07-02","10590.415855999281","10929.01701758391","9674.250249382769","10840.512264101986","4817809946.602934","188538201348.40137"
"2019-07-01","10768.158459645481","11216.725225967468","9966.272320544453","10592.687634834663","4375985055.823895","190979841669.5137"
"2019-06-30","11844.40076927059","12209.139869361274","10657.039631010055","10748.549951227598","3766668599.2527723","211679111688.99268"
"2019-06-29","12347.099941595077","12383.850367702811","11358.988919200483","11860.107972254595","3545035987.1755323","219726972712.9111"
"2019-06-28","11112.878080055487","12441.613368809947","10759.381711701562","12360.577867500371","5277710401.161966","198802990150.17377"
"2019-06-27","12897.88873040019","13308.493914989454","10302.672318399023","11125.063914440616","8610888665.099197","229822553560.71817"
"2019-06-26","11757.797381631657","13859.503601866465","11571.035612344638","12882.633092753702","8606565451.82839","209073377546.68164"
"2019-06-25","11031.007552203937","11791.969252206964","11008.405121031663","11769.82165671362","3578632811.5218086","196321015627.36014"
"2019-06-24","10850.55408510267","11116.791570427455","10541.912111576255","11026.752850481495","2605153909.160545","192764440711.73138"
"2019-06-23","10689.58441775252","11309.8894090049","10506.871300513598","10850.404563228445","2941119617.3757706","191020413726.96063"
"2019-06-22","10223.144767825675","11216.62238147832","10055.729835621481","10672.140222472355","5050496860.39892","181844194433.30298"
"2019-06-21","9549.487664480239","10243.770742013166","9537.032825514572","10210.096357748525","2947399483.033006","169789660919.4862"
"2019-06-20","9278.858336846475","9624.732907285208","9205.343737374787","9541.683178262047","2085393053.1636248","165118993149.53378"
"2019-06-19","9119.3662802183","9332.875544857772","9038.918058673533","9278.815753382634","1839632949.8553255","162124888929.02255"
"2019-06-18","9333.86518257477","9362.794293130313","8938.779763115215","9105.61279967167","2513192321.9349885","167538672369.30768"
"2019-06-17","8978.648827707357","9473.554649704656","8974.062210254684","9339.767258225065","2650642440.3033967","159567308068.96732"
"2019-06-16","8846.450700286538","9390.621493929899","8797.83752544312","8971.493739969545","3199401175.9688487","157121690835.51367"
"2019-06-15","8703.248839547765","8918.389743026844","8613.535822730692","8851.215777865842","1836730549.0102339","154389436816.80386"
"2019-06-14","8233.072553078639","8731.3864402819","8164.571467394085","8700.254023138774","2047754808.5000772","146323064433.8011"
"2019-06-13","8160.492265198658","8332.57546298695","8033.732275050381","8235.806271483982","1756182685.446067","144958363568.65027"
"2019-06-12","7916.10403860688","8255.720512284053","7818.438334956476","8160.066484396309","2004570279.6097393","140668398223.7868"
"2019-06-11","8019.493937407198","8047.942534980672","7705.740905738519","7912.84167706966","1589458706.4114015","142428360512.12894"
"2019-06-10","7647.206733438354","8070.278096957489","7521.153129961779","8012.639056483709","1812321921.2708304","135844557359.62227"
"2019-06-09","7924.420438269671","7960.4705458994495","7510.85451585197","7641.542670762786","1574197458.8733184","140719271726.57953"
"2019-06-08","8008.564874977423","8065.760839816312","7782.536736382138","7930.982212975553","1378536951.8554764","142129042692.14795"
"2019-06-07","7803.702391227772","8127.769328307088","7753.774869547345","8000.509848875415","1814070211.6994486","138525568047.8027"
"2019-06-06","7786.4356189471455","7886.126240012482","7454.067676118112","7805.398098149559","1855892253.7851021","138235035891.54303"
"2019-06-05","7677.060354875949","7926.343408098987","7579.0578993777945","7787.896473953979","2113607445.4383845","136273949047.78044"
"2019-06-04","8125.239534447994","8125.716121452463","7432.757968036192","7674.63761276146","3147507457.4569025","144112020738.45468"
